MASS_PLANET_OBS   MASS_PLANET_SIGMA RADIUS_PLANET RADIUS_PLANET_SIGMA PERIOD ENFRAC  H_OBS  H_SIGMA  K_OBS K_SIGMA
17.6 3.4 2.50 0.30 75.5387 9.e-03 -0.01  0.24 -0.10  0.28
 3.2 4.7 1.72 0.21 73.7154 2.e-03 -0.30  0.19  0.01  0.21
21.9 4.6 2.11 0.25  2.7382 2.e-05 -0.09  0.07 -0.15  0.23
13.5 2.7 3.01 0.36 74.3785 4.e-02  0.22  0.07  0.28  0.32
17.8 1.0 2.02 0.24 25.5405 2.e-05  0.09  0.14  0.00  0.31
 3.3 2.9 1.37 0.16  6.9486 2.e-05  0.07  0.09  0.00  0.37
 2.4 3.5 1.98 0.24 25.6140 6.e-03 -0.09  0.12  0.15  0.11
12.0 4.3 1.87 0.22  1.7456 7.e-05 -0.32  0.19  0.31  0.16
10.0 3.8 3.19 0.38 30.5203 5.e-02  0.14  0.19 -0.09  0.36
 2.7 3.9 1.42 0.17 12.7474 3.e-04 -0.08  0.19  0.08  0.28
26.3 1.5 2.19 0.26 79.8111 4.e-05  0.10  0.10  0.02  0.15
21.0 5.2 2.31 0.28 47.6735 1.e-03 -0.18  0.25  0.16  0.11
 6.9 1.4 1.63 0.20  4.9989 1.e-05  0.02  0.18 -0.08  0.15
14.8 3.4 2.73 0.33  1.3483 1.e-02  0.04  0.08 -0.44  0.24
14.2 2.4 1.97 0.24 45.1267 2.e-04 -0.04  0.20  0.20  0.35
 1.8 2.0 1.36 0.16  7.9984 4.e-04  0.23  0.10 -0.01  0.11
19.9 4.9 2.07 0.25 25.0946 1.e-05 -0.12  0.21  0.25  0.24
 2.7 3.2 3.69 0.44 47.8669 8.e-02 -0.20  0.10 -0.05  0.21
11.6 5.0 2.02 0.24 12.8689 7.e-04 -0.34  0.05 -0.04  0.23
 8.1 2.0 1.47 0.18  1.1411 8.e-02  0.01  0.22 -0.04  0.22
19.2 4.1 2.46 0.30 48.3638 6.e-03 -0.11  0.08  0.24  0.30
21.3 5.3 2.11 0.25  9.9261 5.e-05  0.09  0.17 -0.04  0.18
 3.4 3.4 1.77 0.21 23.5356 2.e-03 -0.18  0.08 -0.36  0.25
17.2 5.1 2.01 0.24  8.8004 7.e-05 -0.27  0.18  0.29  0.25
12.1 3.7 1.86 0.22 37.1034 2.e-05  0.03  0.17 -0.16  0.24
 9.4 1.7 1.99 0.24  9.7290 8.e-04  0.22  0.17  0.31  0.32
21.9 3.7 2.12 0.25  3.8247 5.e-05 -0.01  0.20 -0.32  0.20
 6.3 1.0 1.78 0.21 83.1145 8.e-04  0.36  0.07  0.05  0.37
 1.2 5.4 3.15 0.38 48.7183 8.e-02 -0.04  0.23 -0.01  0.28
 5.1 3.8 1.76 0.21 87.0357 1.e-03  0.06  0.08 -0.10  0.17
17.4 2.7 2.01 0.24 68.2004 2.e-05  0.30  0.08  0.27  0.13
 2.2 3.3 1.22 0.15  4.0321 4.e-04 -0.01  0.25 -0.18  0.18
18.6 1.2 2.04 0.24 33.2835 1.e-05 -0.07  0.09 -0.32  0.25
12.2 5.9 1.89 0.23  6.9011 1.e-04 -0.34  0.20  0.11  0.12
10.2 3.0 1.98 0.24 38.0224 1.e-03  0.01  0.24  0.04  0.28
19.9 5.9 2.09 0.25  7.5057 7.e-05  0.04  0.17  0.38  0.37
20.8 3.0 2.36 0.28 90.0128 2.e-03  0.33  0.08  0.20  0.15
 5.1 4.6 1.53 0.18 23.8420 3.e-05 -0.18  0.25  0.00  0.35
14.6 3.3 1.98 0.24 66.1293 3.e-04 -0.37  0.21  0.25  0.21
10.0 2.3 2.15 0.26  9.7441 3.e-03 -0.30  0.14 -0.21  0.38
 6.4 5.3 1.64 0.20 30.2357 1.e-04 -0.07  0.07  0.03  0.33
13.9 4.4 2.10 0.25 14.3929 7.e-04  0.08  0.12 -0.01  0.22
28.3 2.7 2.22 0.27 49.7121 1.e-05 -0.41  0.23 -0.07  0.30
 3.8 5.6 1.47 0.18  3.1963 1.e-04 -0.05  0.06  0.41  0.26
13.5 2.9 1.94 0.23 55.7015 2.e-04 -0.14  0.14 -0.08  0.20
17.3 4.9 2.18 0.26 71.6479 9.e-04  0.13  0.17 -0.03  0.14
 4.7 5.0 1.74 0.21 85.0070 1.e-03 -0.23  0.15  0.24  0.27
 5.3 5.5 1.78 0.21 11.4868 8.e-04 -0.04  0.16  0.03  0.20
 9.4 2.8 1.89 0.23  1.0558 4.e-04 -0.31  0.16 -0.11  0.14
13.6 3.0 1.91 0.23 30.9799 2.e-05 -0.06  0.11 -0.02  0.19
 7.1 1.9 1.74 0.21 10.0595 4.e-04 -0.02  0.24  0.38  0.24
