KOI PERIOD RADIUS_PLANET_OBS RADIUS_PLANET_SIGMA MASS_PLANET_OBS MASS_PLANET_SIGMA FLUX_OBS FLUX_SIGMA
41.02 6.89000 1.49000 0.0350000 7.29000 3.02000 5.8974923e+08 3.8598701e+08
 82.01 16.1500 2.52627 0.0823784 7.74000 2.86000 28335601. 5161990.6
 104.01 2.51000 3.34674 0.145895 13.8000 3.19000 3.2060587e+08 2.3855669e+08
 116.01 13.5700 2.46287 0.396625 11.8200 4.76000 1.2433703e+08 59014905.
 122.01 11.5200 3.61715 0.0996954 9.97000 3.47000 2.4496492e+08 1.3682149e+08
 148.02 9.67000 3.14292 0.166348 14.7500 4.34000 96377847. 23107909.
 153.02 4.75000 2.06100 0.0600000 9.74000 4.59000 1.1415922e+08 42612801.
 244.01 12.7200 5.13601 0.0902431 23.9000 5.78000 2.5332929e+08 92752952.
 244.02 6.24000 2.68163 0.0471181 7.95000 3.90000 6.5477007e+08 3.8431331e+08
 246.01 5.40000 2.53612 0.0387661 7.43000 1.46000 5.5595072e+08 3.4696649e+08
 283.01 16.0900 2.42170 0.229301 13.8400 5.78000 86509387. 17598221.
 299.01 1.54000 1.84855 0.206319 4.14000 2.10000 2.0972035e+09 1.6297212e+09
 305.01 4.60000 1.57430 0.0860274 6.68000 2.48000 1.3670523e+08 96839175.
 321.01 2.43000 1.44459 0.0283784 6.27000 1.75000 1.0015107e+09 8.4299629e+08
